SALES_UNIT,COMPANY_CODE,CURRENCY
AWJ,AWJ,RMB
AUK,AUK,GBP
MEC,MEC,DKK
WEL,WEL,JPY
APU,APU,USD
AUS,AUS,AUD
BJ,BJ,RMB
CAN,CAN,CAD
CORP,JPN,JPY
DOM,JPN,JPY
EXP,JPN,JPY
FB,JPN,JPY
GS,JPN,JPY
HK,HK,HKD
IAS,IAS,JPY
ICO,ICO,JPY
IEG,IEG,EUR
IES,IES,JPY
IOD,IOD,JPY
IPD,IPD,JPY
JPN_EMB,JPN,JPY
JPN_YUS,JPN,JPY
Japan_EX,JPN,JPY
Japan_GRP,JPN,JPY
Japan_OTH,JPN,JPY
LED,JPN,JPY
SE,JPN,JPY
SH,SH,RMB
SOLAR,JPN,JPY
SP,SP,SGD
SUZ,SUZ,RMB
SZ,SZ,RMB
THAI,THAI,THB
THAI-P,THAI,THB
THAI-S,THAI,THB
TID,TID,TWD
TWN,TWN,TWD
UK,UK,GBP
USA,USA,USD
IND,IND,INR
AFR,AFR,EUR
ABE,ABE,EUR
ADE,ADE,EUR
AIT,AIT,EUR
ASW,ASW,SEK
BL_BIZ,JPN,JPY
